A,B,C,D
G246,06:40 (当日),07:18 (当日),0小时38分钟
G247,06:40 (当日),07:18 (当日),0小时38分钟
G1878,06:59 (当日),07:38 (当日),0小时39分钟
G2552,07:04 (当日),07:42 (当日),0小时38分钟
G7732,07:32 (当日),08:18 (当日),0小时46分钟
G1874,08:51 (当日),09:30 (当日),0小时43分钟
G1875,08:51 (当日),09:30 (当日),0小时43分钟
G3176,08:52 (当日),09:19 (当日),0小时31分钟
G3177,08:52 (当日),09:19 (当日),0小时31分钟
G7414,09:01 (当日),09:40 (当日),0小时42分钟
G2806,09:26 (当日),10:05 (当日),0小时43分钟
G1944,09:47 (当日),10:26 (当日),0小时45分钟
G1945,09:47 (当日),10:26 (当日),0小时45分钟
G7746,09:55 (当日),10:34 (当日),0小时43分钟
G7724,10:29 (当日),11:08 (当日),0小时41分钟
G1952,10:34 (当日),11:01 (当日),0小时30分钟
G1953,10:34 (当日),11:01 (当日),0小时30分钟
G3136,10:40 (当日),11:19 (当日),0小时43分钟
G7734,10:45 (当日),11:24 (当日),0小时43分钟
G7268,10:58 (当日),11:40 (当日),0小时46分钟
G7268,11:13 (当日),11:40 (当日),0小时29分钟
G7428,11:30 (当日),12:24 (当日),1小时0分钟
G1964,11:49 (当日),12:29 (当日),0小时43分钟
G2596,11:54 (当日),12:39 (当日),0小时48分钟
G3187,11:59 (当日),12:38 (当日),0小时42分钟
G3190,11:59 (当日),12:38 (当日),0小时42分钟
G3164,12:17 (当日),12:44 (当日),0小时32分钟
G3165,12:17 (当日),12:44 (当日),0小时32分钟
D5534,12:19 (当日),13:01 (当日),0小时48分钟
G7372,12:29 (当日),12:56 (当日),0小时29分钟
D3356,12:32 (当日),13:13 (当日),0小时49分钟
G1902,12:37 (当日),13:23 (当日),0小时53分钟
G7500,12:42 (当日),13:28 (当日),0小时53分钟
G2562,12:56 (当日),13:34 (当日),0小时44分钟
G7500,13:09 (当日),13:28 (当日),0小时21分钟
G1978,13:14 (当日),13:53 (当日),0小时44分钟
G7796,13:15 (当日),13:42 (当日),0小时31分钟
G7797,13:15 (当日),13:42 (当日),0小时31分钟
G1894,13:45 (当日),14:24 (当日),0小时44分钟
G1895,13:45 (当日),14:24 (当日),0小时44分钟
G1924,13:47 (当日),14:14 (当日),0小时29分钟
G1925,13:47 (当日),14:14 (当日),0小时29分钟
G7742,13:55 (当日),14:34 (当日),0小时43分钟
G1748,14:00 (当日),14:26 (当日),0小时46分钟
G7572,14:14 (当日),14:50 (当日),0小时39分钟
G7572,14:29 (当日),14:50 (当日),0小时23分钟
G324,15:13 (当日),15:51 (当日),0小时44分钟
G3102,15:18 (当日),15:45 (当日),0小时31分钟
G3103,15:18 (当日),15:45 (当日),0小时31分钟
G860,15:36 (当日),16:15 (当日),0小时43分钟
G7182,15:44 (当日),16:20 (当日),0小时40分钟
G2228,15:57 (当日),16:36 (当日),0小时39分钟
G7182,16:01 (当日),16:20 (当日),0小时23分钟
G3160,16:02 (当日),16:41 (当日),0小时46分钟
G7780,16:06 (当日),16:32 (当日),0小时26分钟
G1870,16:11 (当日),16:51 (当日),0小时46分钟
G2568,16:16 (当日),16:54 (当日),0小时42分钟
G2808,16:19 (当日),16:46 (当日),0小时30分钟
G7708,16:31 (当日),17:10 (当日),0小时42分钟
G7276,16:33 (当日),17:00 (当日),0小时33分钟
G3252,16:47 (当日),17:15 (当日),0小时36分钟
G7736,16:49 (当日),17:28 (当日),0小时43分钟
G1742,16:53 (当日),17:33 (当日),1小时2分钟
G3114,16:54 (当日),17:33 (当日),0小时43分钟
G1742,17:08 (当日),17:33 (当日),0小时27分钟
G2395,17:28 (当日),18:08 (当日),0小时43分钟
G2398,17:28 (当日),18:08 (当日),0小时43分钟
G1962,17:36 (当日),18:15 (当日),0小时45分钟
G3196,18:00 (当日),18:39 (当日),0小时42分钟
G3106,18:17 (当日),18:44 (当日),0小时34分钟
G7420,18:21 (当日),19:00 (当日),0小时43分钟
G1602,18:31 (当日),19:10 (当日),0小时42分钟
G7186,18:37 (当日),19:05 (当日),0小时31分钟
G1898,18:45 (当日),19:25 (当日),0小时44分钟
G2812,18:48 (当日),19:15 (当日),0小时31分钟
G7652,19:27 (当日),19:55 (当日),0小时33分钟
G1906,19:36 (当日),20:15 (当日),0小时44分钟
G7464,19:41 (当日),20:20 (当日),0小时43分钟
G7410,20:04 (当日),20:41 (当日),0小时37分钟
G1966,20:11 (当日),20:51 (当日),0小时43分钟
G7752,20:27 (当日),20:56 (当日),0小时32分钟
G1826,20:34 (当日),21:01 (当日),0小时32分钟
G7682,20:44 (当日),21:11 (当日),0小时30分钟
G7683,20:44 (当日),21:11 (当日),0小时30分钟
G7788,20:51 (当日),21:18 (当日),0小时31分钟
D5562,21:06 (当日),21:35 (当日),0小时35分钟
G1670,21:23 (当日),22:03 (当日),0小时52分钟
G1764,21:30 (当日),21:57 (当日),0小时30分钟
