A,B,C,D
G7071,07:17 (当日),08:24 (当日),1小时7分钟
G7074,07:17 (当日),08:24 (当日),1小时7分钟
G7405,07:34 (当日),08:53 (当日),1小时19分钟
G7408,07:34 (当日),08:53 (当日),1小时19分钟
G8334,07:42 (当日),08:36 (当日),0小时54分钟
G8331,07:42 (当日),08:36 (当日),0小时54分钟
G2795,08:00 (当日),08:56 (当日),0小时56分钟
G7075,08:07 (当日),09:22 (当日),1小时15分钟
G8321,08:33 (当日),09:43 (当日),1小时10分钟
C3671,08:33 (当日),09:43 (当日),1小时10分钟
C3674,08:33 (当日),09:43 (当日),1小时10分钟
G8336,08:59 (当日),10:25 (当日),1小时26分钟
G8337,08:59 (当日),10:25 (当日),1小时26分钟
G7721,09:36 (当日),10:56 (当日),1小时24分钟
G8323,09:39 (当日),10:53 (当日),1小时14分钟
G2697,09:52 (当日),11:17 (当日),1小时29分钟
G8340,10:47 (当日),12:18 (当日),1小时31分钟
G8341,10:47 (当日),12:18 (当日),1小时31分钟
G8325,11:47 (当日),13:01 (当日),1小时14分钟
C3683,11:47 (当日),13:01 (当日),1小时14分钟
G7417,11:59 (当日),13:31 (当日),1小时32分钟
G2693,12:12 (当日),14:13 (当日),2小时7分钟
G2692,12:12 (当日),14:13 (当日),2小时7分钟
G8338,12:35 (当日),13:49 (当日),1小时14分钟
G8335,12:35 (当日),13:49 (当日),1小时14分钟
G2693,12:40 (当日),14:13 (当日),1小时37分钟
G2692,12:40 (当日),14:13 (当日),1小时37分钟
G7425,13:12 (当日),14:46 (当日),1小时34分钟
G8395,13:47 (当日),14:29 (当日),0小时42分钟
G7723,14:01 (当日),15:29 (当日),1小时32分钟
G8343,14:21 (当日),15:28 (当日),1小时7分钟
G8327,15:00 (当日),16:14 (当日),1小时14分钟
G8345,15:43 (当日),17:19 (当日),1小时36分钟
G8329,16:55 (当日),18:16 (当日),1小时21分钟
C3675,17:16 (当日),18:30 (当日),1小时14分钟
C3678,17:16 (当日),18:30 (当日),1小时14分钟
C3687,17:35 (当日),18:51 (当日),1小时16分钟
C3690,17:35 (当日),18:51 (当日),1小时16分钟
G7749,17:49 (当日),19:21 (当日),1小时32分钟
G8397,17:57 (当日),19:00 (当日),1小时3分钟
G8347,18:12 (当日),19:33 (当日),1小时21分钟
G7743,18:36 (当日),19:55 (当日),1小时23分钟
G7196,19:12 (当日),20:26 (当日),1小时19分钟
G2595,19:35 (当日),21:08 (当日),1小时51分钟
G2594,19:35 (当日),21:08 (当日),1小时51分钟
