A,B,C,D
G7412,06:51 (当日),07:58 (当日),1小时7分钟
G7412,07:03 (当日),07:58 (当日),0小时57分钟
G7775,13:29 (当日),14:37 (当日),1小时8分钟
G7778,13:29 (当日),14:37 (当日),1小时8分钟
G7775,13:42 (当日),14:37 (当日),0小时57分钟
G7778,13:42 (当日),14:37 (当日),0小时57分钟
K8417,14:24 (当日),15:20 (当日),0小时56分钟
G7295,15:49 (当日),16:58 (当日),1小时9分钟
G7298,15:49 (当日),16:58 (当日),1小时9分钟
G7295,16:02 (当日),16:58 (当日),0小时58分钟
G7298,16:02 (当日),16:58 (当日),0小时58分钟
G7427,17:51 (当日),19:02 (当日),1小时11分钟
G7430,17:51 (当日),19:02 (当日),1小时11分钟
G7427,18:04 (当日),19:02 (当日),1小时0分钟
G7430,18:04 (当日),19:02 (当日),1小时0分钟
K1091,20:00 (当日),20:44 (当日),0小时49分钟
K5837,20:00 (当日),20:44 (当日),0小时49分钟
K8351,20:33 (当日),21:31 (当日),1小时2分钟
K8354,20:33 (当日),21:31 (当日),1小时2分钟
