A,B,C,D
G2379,16:13 (当日),18:54 (当日),2小时43分钟
G2378,16:13 (当日),18:54 (当日),2小时43分钟
G3266,17:03 (当日),19:32 (当日),2小时31分钟
G3267,17:03 (当日),19:32 (当日),2小时31分钟
